Unnamed: 0,chembl_id,value,smiles,Fixed_SMILES,Processing_Status,Filter_Status
0,CHEMBL101,98.1,CCCCC1C(=O)N(c2ccccc2)N(c2ccccc2)C1=O,CCCCC1C(=O)N(c2ccccc2)N(c2ccccc2)C1=O,Success,Pass
1,CHEMBL1020,99.65,Cc1ccc(C(=O)c2ccc(CC(=O)O)n2C)cc1,Cc1ccc(C(=O)c2ccc(CC(=O)O)n2C)cc1,Success,Pass
2,CHEMBL1071,99.9,O=C(O)CCc1nc(-c2ccccc2)c(-c2ccccc2)o1,O=C(O)CCc1nc(-c2ccccc2)c(-c2ccccc2)o1,Success,Pass
3,CHEMBL1072,98.4,CCCCNc1cc(C(=O)O)cc(S(N)(=O)=O)c1Oc1ccccc1,CCCCNc1cc(C(=O)O)cc(S(N)(=O)=O)c1Oc1ccccc1,Success,Pass
4,CHEMBL1073,99.1,Cc1cnc(C(=O)NCCc2ccc(S(=O)(=O)NC(=O)NC3CCCCC3)cc2)cn1,Cc1cnc(C(=O)NCCc2ccc(S(=O)(=O)NC(=O)NC3CCCCC3)cc2)cn1,Success,Pass
5,CHEMBL1076571,98.0,CCn1c(C(F)c2cc(C)cc(C#N)c2)c(C(C)C)c(=O)[nH]c1=O,CCn1c(C(F)c2cc(C)cc(C#N)c2)c(C(C)C)c(=O)[nH]c1=O,Success,Pass
6,CHEMBL1078535,99.0,Cc1ccc2c(c1)CCCN2C(=O)SCC(=O)Nc1ccc(S(N)(=O)=O)cc1Cl,Cc1ccc2c(c1)CCCN2C(=O)SCC(=O)Nc1ccc(S(N)(=O)=O)cc1Cl,Success,Pass
7,CHEMBL108,73.7,NC(=O)N1c2ccccc2C=Cc2ccccc21,NC(=O)N1c2ccccc2C=Cc2ccccc21,Success,Pass
8,CHEMBL1080501,85.1,CCc1c(C(=O)c2cc(C)cc(C#N)c2)n(CC)c(=O)[nH]c1=O,CCc1c(C(=O)c2cc(C)cc(C#N)c2)n(CC)c(=O)[nH]c1=O,Success,Pass
9,CHEMBL1080511,96.0,CCn1c(Oc2cc(C)cc(C#N)c2)c(C(C)C)c(=O)[nH]c1=O,CCn1c(Oc2cc(C)cc(C#N)c2)c(C(C)C)c(=O)[nH]c1=O,Success,Pass
10,CHEMBL1081657,85.9,Cc1cc(C#N)cc(C(=O)c2c(C(C)C)c(=O)[nH]c(=O)n2C)c1,Cc1cc(C#N)cc(C(=O)c2c(C(C)C)c(=O)[nH]c(=O)n2C)c1,Success,Pass
11,CHEMBL1081658,83.4,CCn1c(C(=O)c2cc(C)cc(C#N)c2)c(C(C)C)c(=O)[nH]c1=O,CCn1c(C(=O)c2cc(C)cc(C#N)c2)c(C(C)C)c(=O)[nH]c1=O,Success,Pass
12,CHEMBL1081659,99.1,CCCn1c(C(=O)c2cc(C)cc(C#N)c2)c(C(C)C)c(=O)[nH]c1=O,CCCn1c(C(=O)c2cc(C)cc(C#N)c2)c(C(C)C)c(=O)[nH]c1=O,Success,Pass
13,CHEMBL1081821,93.3,Cc1cc(C#N)cc(C(=O)c2c(C(C)C)c(=O)[nH]c(=O)n2Cc2cc(N)nc(F)c2F)c1,Cc1cc(C#N)cc(C(=O)c2c(C(C)C)c(=O)[nH]c(=O)n2Cc2cc(N)nc(F)c2F)c1,Success,Pass
14,CHEMBL1081822,94.2,Cc1cc(C#N)cc(C(=O)c2c(C(C)C)c(=O)[nH]c(=O)n2Cc2cc(F)nc(F)c2)c1,Cc1cc(C#N)cc(C(=O)c2c(C(C)C)c(=O)[nH]c(=O)n2Cc2cc(F)nc(F)c2)c1,Success,Pass
15,CHEMBL1081840,99.9,CCCCn1c(C(=O)c2cc(C)cc(C#N)c2)c(C(C)C)c(=O)[nH]c1=O,CCCCn1c(C(=O)c2cc(C)cc(C#N)c2)c(C(C)C)c(=O)[nH]c1=O,Success,Pass
16,CHEMBL1081850,99.3,CCn1c(C(=O)c2cc(C)cc(C#N)c2)c(C(C)(C)C)c(=O)[nH]c1=O,CCn1c(C(=O)c2cc(C)cc(C#N)c2)c(C(C)(C)C)c(=O)[nH]c1=O,Success,Pass
17,CHEMBL1081851,98.7,CCn1c(C(F)(F)c2cc(C)cc(C#N)c2)c(C(C)C)c(=O)[nH]c1=O,CCn1c(C(F)(F)c2cc(C)cc(C#N)c2)c(C(C)C)c(=O)[nH]c1=O,Success,Pass
18,CHEMBL1081903,45.0,COc1ccc(C#N)cc1Oc1ncnc(N2CCC(Oc3ncc(F)c(N)n3)CC2)c1F,COc1ccc(C#N)cc1Oc1ncnc(N2CCC(Oc3ncc(F)c(N)n3)CC2)c1F,Success,Pass
19,CHEMBL1081995,87.7,Cc1cc(C#N)cc(C(=O)c2c(C(C)C)c(=O)[nH]c(=O)n2Cc2ccnc(F)c2)c1,Cc1cc(C#N)cc(C(=O)c2c(C(C)C)c(=O)[nH]c(=O)n2Cc2ccnc(F)c2)c1,Success,Pass
20,CHEMBL1083192,51.0,CS(=O)(=O)N1CCN(Cc2cc3nc(-c4cnc(N)nc4)nc(N4CCOCC4)c3s2)CC1,CS(=O)(=O)N1CCN(Cc2cc3nc(-c4cnc(N)nc4)nc(N4CCOCC4)c3s2)CC1,Success,Pass
21,CHEMBL1083993,96.0,CCCCc1oc2ccccc2c1C(=O)c1cc(I)c(OCCN(CC)CC)c(I)c1.Cl,CCCCc1oc2ccccc2c1C(=O)c1cc(I)c(OCCN(CC)CC)c(I)c1,Success,Pass
22,CHEMBL1088752,94.9,Cc1c(F)cc(C(=O)NC2CC2)cc1-c1ccc(C(=O)NCC(C)(C)C)cn1,Cc1c(F)cc(C(=O)NC2CC2)cc1-c1ccc(C(=O)NCC(C)(C)C)cn1,Success,Pass
24,CHEMBL1090103,98.7,O=C(O)c1cn(Cc2ccc(-c3ccccc3)cc2)c2ccsc2c1=O,O=C(O)c1cn(Cc2ccc(-c3ccccc3)cc2)c2ccsc2c1=O,Success,Pass
25,CHEMBL1090104,99.3,O=C(O)c1cn(Cc2ccc(-c3ccccc3)cc2)c2sccc2c1=O,O=C(O)c1cn(Cc2ccc(-c3ccccc3)cc2)c2sccc2c1=O,Success,Pass
26,CHEMBL1090786,99.4,CCc1ccc(Cc2cc([C@@H]3S[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)c(OC)cc2Cl)cc1,CCc1ccc(Cc2cc([C@@H]3S[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)c(OC)cc2Cl)cc1,Success,Pass
27,CHEMBL1091236,98.8,Cc1ccn(-c2ccc(Cn3cc(C(=O)O)c(=O)c4cccnc43)cc2)n1,Cc1ccn(-c2ccc(Cn3cc(C(=O)O)c(=O)c4cccnc43)cc2)n1,Success,Pass
28,CHEMBL1091392,97.7,O=C(O)c1cn(Cc2ccc(-c3ccccc3)cc2)c2nccnc2c1=O,O=C(O)c1cn(Cc2ccc(-c3ccccc3)cc2)c2nccnc2c1=O,Success,Pass
29,CHEMBL1091547,99.7,CC(C)c1ccc(Cc2cc([C@@H]3S[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)ccc2Cl)cc1,CC(C)c1ccc(Cc2cc([C@@H]3S[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)ccc2Cl)cc1,Success,Pass
30,CHEMBL1091548,72.1,Cn1cc(-c2ccc(Cn3cc(C(=O)O)c(=O)c4sccc43)nc2)cn1,Cn1cc(-c2ccc(Cn3cc(C(=O)O)c(=O)c4sccc43)nc2)cn1,Success,Pass
31,CHEMBL1091967,86.0,O=C(O)c1cn(Cc2ccc(-n3cccn3)cc2)c2ccsc2c1=O,O=C(O)c1cn(Cc2ccc(-n3cccn3)cc2)c2ccsc2c1=O,Success,Pass
