,chembl_id,value,smiles
0,CHEMBL100899,11000.0,CCC(C)c1ccc(N/C=N/O)cc1
1,CHEMBL100917,42000.0,CCCCc1ccccc1/N=C/NO
2,CHEMBL101,19000.0,CCCCC1C(=O)N(c2ccccc2)N(c2ccccc2)C1=O
3,CHEMBL101168,42900.0,Nn1nnc2ccccc21
4,CHEMBL101180,30000.0,CC(C)c1ccc(N/C=N/O)cc1
5,CHEMBL101296,17000.0,CCc1ccc(N/C=N/O)cc1
6,CHEMBL10188,2000.0,CC[C@H](NC(=O)c1c(O)c(-c2ccccc2)nc2ccccc12)c1ccccc1
7,CHEMBL103,5500.0,CC(=O)[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C
8,CHEMBL103163,100000.0,CC(C)(C)c1ccc(N/C=N/O)cc1
9,CHEMBL103313,8800.0,CCCCc1ccc(N/C=N/O)cc1
10,CHEMBL103320,79000.0,Cc1ccc(N/C=N/O)cc1
11,CHEMBL103651,77000.0,Cc1ccccc1/N=C/NO
12,CHEMBL106,19105.0,OC(Cn1cncn1)(Cn1cncn1)c1ccc(F)cc1F
13,CHEMBL1076192,66000.0,Cc1cccc(C)c1CNc1nccc2c1cc(C)n2C
14,CHEMBL1076210,33000.0,Cc1cccc(C)c1CNc1nccc2c(C)c(C)[nH]c12
15,CHEMBL1076245,1400.0,Cc1cccc(C)c1CNc1nc(N2CCCC2=O)cc2c(C)c(C)[nH]c12
16,CHEMBL1076536,16000.0,Cc1cccc(C)c1COc1cccn2c(C)c(C)nc12
17,CHEMBL1077334,11500.0,O=C(O)/C=C/c1ccc(NC(=O)C2(NC(=O)c3ccc4c(c3)nc(-c3ccoc3)n4C3CCCCC3)CCCC2)cc1
18,CHEMBL1077335,4000.0,O=C(O)/C=C/c1ccc(NC(=O)C2(NC(=O)c3ccc4c(c3)nc(-c3ccccn3)n4C3CCCCC3)CCCC2)cc1
19,CHEMBL1077780,10000.0,CC1(c2ccccc2)CCCN(C(=O)N[C@H]2C[C@@H]2c2ccccc2)C1
20,CHEMBL1077781,10000.0,O=C(O)CC1(c2ccccc2)CCCN(C(=O)Nc2ccc(Cl)cc2)C1
21,CHEMBL1077963,10000.0,O=C(O)CCC1(c2ccccn2)CCCN(C(=O)Nc2ccc(Cl)cc2)C1
22,CHEMBL1078232,10000.0,O=C(CCC1(c2ccccc2)CCCN(C(=O)Nc2ccc(Cl)cc2)C1)N1CCOCC1
23,CHEMBL1078264,10000.0,CC1(c2ccccc2)CCCN(C(=O)NCc2ccc(-c3ccc4[nH]ccc4c3)cc2)C1
24,CHEMBL1078265,10000.0,CC1(c2ccccc2)CCCN(C(=O)NCCc2ccc(Cl)cc2)C1
25,CHEMBL1078336,10000.0,O=C(O)CCC1(c2ccncc2)CCCN(C(=O)Nc2ccc(Cl)cc2)C1
26,CHEMBL1078337,10000.0,O=C(O)CCC1(c2cccnc2)CCCN(C(=O)Nc2ccc(Cl)cc2)C1
27,CHEMBL1078353,10000.0,CC1(c2ccccc2)CCCN(C(=O)NCCCc2cccnc2)C1
28,CHEMBL1078354,10000.0,CC1(c2ccccc2)CCCN(C(=O)NCCc2ccc3nc[nH]c3c2)C1
29,CHEMBL1078452,10000.0,CC1(c2ccccc2)CCCN(C(=O)NCCc2ccc3nccnc3c2)C1
30,CHEMBL1078492,400.0,O=S(=O)(Nc1ccc2c(c1)CCN(Cc1cc[nH]n1)CC2)c1ccc(-c2ccccn2)s1
31,CHEMBL1078565,10000.0,O=C(O)CCCC1(c2ccccc2)CCCN(C(=O)Nc2ccc(Cl)cc2)C1
