,chembl_id,value,smiles
0,CHEMBL100165,30.0,CC(C)c1cc(-c2ccc(F)cc2)c(OCC(O)C[C@@H](O)CC(=O)[O-])c(C(C)C)c1.[Na+]
1,CHEMBL100219,18.0,COc1cccc2c1-c1ccc3c(c1C(c1cc(C)cc(Br)c1)O2)C(C)=CC(C)(C)N3
2,CHEMBL100633,2400.0,O=C(Nc1ccc(Cl)c(Cl)c1)c1cc(Cl)ccc1O
3,CHEMBL101168,83000.0,Nn1nnc2ccccc21
4,CHEMBL101309,479.0,CC(C)c1cc(C(C)C)c(CC(=O)NS(=O)(=O)Oc2c(C(C)C)cccc2C(C)C)c(C(C)C)c1
5,CHEMBL1014,100000.0,CCOc1nc2cccc(C(=O)OC(C)OC(=O)OC3CCCCC3)c2n1Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1
6,CHEMBL101497,250.0,CC(C)c1c(OCC(O)C[C@@H](O)CC(=O)[O-])c(-c2ccc(F)cc2)nc2ccccc12.[Na+]
7,CHEMBL101600,12500.0,CCC(C)(C)C(=O)NC(c1cc(C)cc(C)c1OCC(O)C[C@@H](O)CC(=O)[O-])C1CCCCC1.[Na+]
8,CHEMBL1017,10000.0,CCCc1nc2c(C)cc(-c3nc4ccccc4n3C)cc2n1Cc1ccc(-c2ccccc2C(=O)O)cc1
9,CHEMBL101824,6500.0,Cc1cc(C)c(OCC2C[C@@H](O)CC(=O)O2)c(C(Cl)C2CCCCC2)c1
10,CHEMBL101831,1700.0,CC(C)c1cc(SC(C)(C)Sc2cc(-c3ccc(F)cc3)c(OCC(O)C[C@@H](O)CC(=O)[O-])c(C(C)C)c2)cc(-c2ccc(F)cc2)c1[O-].[Na+].[Na+]
11,CHEMBL102112,5000.0,Cc1nc2ccccc2c(-c2ccccc2)c1OCC(O)C[C@@H](O)CC(=O)[O-].[Na+]
12,CHEMBL102168,0.5,CC(C)c1cc(Sc2ccc(F)cc2)cc(-c2ccc(F)cc2)c1OCC(O)C[C@@H](O)CC(=O)[O-].[Na+]
13,CHEMBL102199,20000.0,Cc1c(OCC(O)C[C@@H](O)CC(=O)[O-])c(C(c2ccc(F)cc2)c2ccc(F)cc2)cc2ccccc12.[Na+]
14,CHEMBL1023,20000.0,C=C(c1ccc(C(=O)O)cc1)c1cc2c(cc1C)C(C)(C)CCC2(C)C
15,CHEMBL102914,200000.0,O=C(/C=C/c1ccccc1)CC(=O)/C=C/c1ccccc1
16,CHEMBL103006,200000.0,COc1ccc(/C=C/C(=O)CC(=O)/C=C/c2ccc(OC)cc2)cc1
17,CHEMBL103139,5000.0,Cc1c(OCC(O)C[C@@H](O)CC(=O)[O-])c(-c2ccc(F)cc2)nc2ccccc12.[Na+]
18,CHEMBL10376,3909.0,CCOCc1c(O)ccc2nc3c(cc12)Cn1c-3cc2c(c1=O)COC(=O)[C@]2(O)CC
19,CHEMBL104261,200000.0,O=C(O)c1cc2ccc(O)cc2oc1=O
20,CHEMBL105,2937.0,CO[C@@]12[C@H](COC(N)=O)C3=C(C(=O)C(C)=C(N)C3=O)N1C[C@@H]1N[C@@H]12
21,CHEMBL105350,62900.0,O=C(/C=C/c1ccc(O)cc1)CC(=O)/C=C/c1ccc(O)cc1
22,CHEMBL105496,100000.0,COc1ccc(/C=C/C(=O)c2ccccc2)cc1
23,CHEMBL10557,99.26,COc1ccc(CCc2cc(OC)c(OC)c(OC)c2)cc1O
24,CHEMBL105867,58000.0,CCCCCCCCCCCCC/C=C/[C@@H](O)[C@H](CO)NC(C)=O
25,CHEMBL106,50000.0,OC(Cn1cncn1)(Cn1cncn1)c1ccc(F)cc1F
26,CHEMBL1064,40.0,CCC(C)(C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@H]21
27,CHEMBL106771,64700.0,O=C(/C=C/c1ccc([N+](=O)[O-])cc1)c1ccccc1
28,CHEMBL1068,19498.45,NC(=O)N1c2ccccc2CC(=O)c2ccccc21
29,CHEMBL107,71.0,COc1cc2c(c(OC)c1OC)-c1ccc(OC)c(=O)cc1[C@@H](NC(C)=O)CC2
30,CHEMBL107568,120.0,CCN(CC#CC#CC(C)(C)OC)Cc1cccc(OC[Si](C)(C)c2ccccc2C)c1
31,CHEMBL1076223,341.5,CC(=O)N1CCC(C(=O)N2CCC(N3CCN(C(=O)c4cc(-c5ccc(C)cc5)nc(-c5ccc(C)cc5)c4)CC3)CC2)CC1
32,CHEMBL1076496,8900.0,C=C1C[C@@H](O)[C@@H]2O[C@@]2(C)CC[C@@H]2C([C@@H](OC(C)=O)[C@H](C=C(C)C)OC(C)=O)=CO[C@H](OC(C)=O)[C@@H]12
33,CHEMBL1076638,200.0,COc1ccc2c(c1)c(CC(=O)NCCCCNC(=O)CCC(=O)O[C@@H]1c3cc4c(cc3[C@H](c3cc(OC)c(OC)c(OC)c3)[C@@H]3C(=O)OC[C@H]31)OCO4)c(C)n2C(=O)c1ccc(Cl)cc1
34,CHEMBL1076639,1000.0,COc1ccc2c(c1)c(CC(=O)NCCOC(=O)CCC(=O)O[C@@H]1c3cc4c(cc3[C@H](c3cc(OC)c(OC)c(OC)c3)[C@@H]3C(=O)OC[C@H]31)OCO4)c(C)n2C(=O)c1ccc(Cl)cc1
35,CHEMBL1076640,320.0,COc1ccc2c(c1)c(CCNC(=O)CCC(=O)O[C@@H]1c3cc4c(cc3[C@H](c3cc(OC)c(OC)c(OC)c3)[C@@H]3C(=O)OC[C@H]31)OCO4)c(C)n2Cc1ccc(Br)cc1
36,CHEMBL1076641,220.0,COc1cc([C@H]2c3cc4c(cc3[C@@H](OC(=O)CCC(=O)NCCCCNC(=O)[C@@H](C)c3ccc(CC(C)C)cc3)[C@@H]3COC(=O)[C@@H]23)OCO4)cc(OC)c1OC
37,CHEMBL1076642,270.0,COc1cc([C@H]2c3cc4c(cc3[C@@H](OC(=O)CCC(=O)NCCCCNC(=O)[C@@H](C)c3ccc(-c5ccccc5)c(F)c3)[C@@H]3COC(=O)[C@@H]23)OCO4)cc(OC)c1OC
38,CHEMBL1076643,540.0,COc1ccc2cc([C@@H](C)C(=O)NCCCCNC(=O)CCC(=O)O[C@@H]3c4cc5c(cc4[C@H](c4cc(OC)c(OC)c(OC)c4)[C@@H]4C(=O)OC[C@H]43)OCO5)ccc2c1
39,CHEMBL1076644,50000.0,COc1cc([C@H]2c3cc4c(cc3[C@@H](OC(=O)CCC(=O)NCCCCNC(=O)[C@@H](C)c3cccc(C(=O)c5ccccc5)c3)[C@@H]3COC(=O)[C@@H]23)OCO4)cc(OC)c1OC
40,CHEMBL1076645,440.0,COc1cc([C@H]2c3cc4c(cc3[C@@H](OC(=O)CCC(=O)NC[C@H](C)c3ccccc3)[C@@H]3COC(=O)[C@@H]23)OCO4)cc(OC)c1OC
41,CHEMBL1076672,90.0,COc1ccc(CCNC(=O)CCC(=O)O[C@@H]2c3cc4c(cc3[C@H](c3cc(OC)c(OC)c(OC)c3)[C@@H]3C(=O)OC[C@H]32)OCO4)cc1
42,CHEMBL1076673,28.0,COc1cc([C@H]2c3cc4c(cc3[C@@H](OC(=O)CCC(=O)NCc3ccc(NS(=O)(=O)c5cccc6c(N(C)C)cccc56)cc3)[C@@H]3COC(=O)[C@@H]23)OCO4)cc(OC)c1OC
43,CHEMBL1076674,500.0,COc1ccc2c(c1)c(CC(=O)NCCCCCNC(=O)CCC(=O)O[C@@H]1c3cc4c(cc3[C@H](c3cc(OC)c(OC)c(OC)c3)[C@@H]3C(=O)OC[C@H]31)OCO4)c(C)n2C(=O)c1ccc(Cl)cc1
44,CHEMBL1076675,710.0,COc1ccc2c(c1)c(CC(=O)N1CCN(C(=O)CCC(=O)O[C@@H]3c4cc5c(cc4[C@H](c4cc(OC)c(OC)c(OC)c4)[C@@H]4C(=O)OC[C@H]43)OCO5)CC1)c(C)n2C(=O)c1ccc(Cl)cc1
45,CHEMBL1076688,24.0,NC(=O)c1cnc(N2CCC(Sc3ccccc3C(F)(F)F)CC2)s1
46,CHEMBL1076698,6523.0,NC(=O)c1csc(N2CCC(Oc3ccccc3C(F)(F)F)CC2)n1
47,CHEMBL1076794,83700.0,Cc1ccccc1NC(=O)CCCCC(=O)NO
48,CHEMBL1077025,10000.0,C=C(C)[C@@H]1C[C@]23C[C@H](CC=C(C)C)C(C)(C)[C@](CC=C(C)C)(C(=O)C(C(=O)c4ccc(O)c(O)c4)=C2O[C@H]1C=C(C)C)C3=O
49,CHEMBL1077040,6370.0,C/C=C/C(=O)O[C@H]1[C@H](O[C@H]2CC[C@]34C[C@]35CC[C@]3(C)[C@H]6[C@H](C)C[C@H]7O[C@@]6(C[C@@H]7C(C)(C)OC(C)=O)[C@H](O)[C@@]3(C)[C@@H]5CC[C@H]4C2(C)C)OC[C@@H](O)[C@@H]1O
50,CHEMBL1077041,1290.0,C/C=C/C(=O)O[C@@H]1CO[C@@H](O[C@H]2CC[C@]34C[C@]35CC[C@]3(C)[C@H]6[C@H](C)C[C@H]7O[C@@]6(C[C@@H]7C(C)(C)OC(C)=O)[C@H](O)[C@@]3(C)[C@@H]5CC[C@H]4C2(C)C)[C@H](O)[C@H]1O
51,CHEMBL1077042,710.0,CC(=O)O[C@@H]1[C@@H](O)[C@H](O[C@H]2CC[C@]34C[C@]35CC[C@]3(C)[C@H]6[C@H](C)C[C@H]7O[C@@]6(C[C@@H]7C(C)(C)OC(C)=O)[C@H](O)[C@@]3(C)[C@@H]5CC[C@H]4C2(C)C)OC[C@H]1O
