,chembl_id,value,smiles
0,CHEMBL101,98.1,CCCCC1C(=O)N(c2ccccc2)N(c2ccccc2)C1=O
1,CHEMBL1020,99.65,Cc1ccc(C(=O)c2ccc(CC(=O)O)n2C)cc1
2,CHEMBL1071,99.9,O=C(O)CCc1nc(-c2ccccc2)c(-c2ccccc2)o1
3,CHEMBL1072,98.4,CCCCNc1cc(C(=O)O)cc(S(N)(=O)=O)c1Oc1ccccc1
4,CHEMBL1073,99.1,Cc1cnc(C(=O)NCCc2ccc(S(=O)(=O)NC(=O)NC3CCCCC3)cc2)cn1
5,CHEMBL1076571,98.0,CCn1c(C(F)c2cc(C)cc(C#N)c2)c(C(C)C)c(=O)[nH]c1=O
6,CHEMBL1078535,99.0,Cc1ccc2c(c1)CCCN2C(=O)SCC(=O)Nc1ccc(S(N)(=O)=O)cc1Cl
7,CHEMBL108,73.7,NC(=O)N1c2ccccc2C=Cc2ccccc21
8,CHEMBL1080501,85.1,CCc1c(C(=O)c2cc(C)cc(C#N)c2)n(CC)c(=O)[nH]c1=O
9,CHEMBL1080511,96.0,CCn1c(Oc2cc(C)cc(C#N)c2)c(C(C)C)c(=O)[nH]c1=O
10,CHEMBL1081657,85.9,Cc1cc(C#N)cc(C(=O)c2c(C(C)C)c(=O)[nH]c(=O)n2C)c1
11,CHEMBL1081658,83.4,CCn1c(C(=O)c2cc(C)cc(C#N)c2)c(C(C)C)c(=O)[nH]c1=O
12,CHEMBL1081659,99.1,CCCn1c(C(=O)c2cc(C)cc(C#N)c2)c(C(C)C)c(=O)[nH]c1=O
13,CHEMBL1081821,93.3,Cc1cc(C#N)cc(C(=O)c2c(C(C)C)c(=O)[nH]c(=O)n2Cc2cc(N)nc(F)c2F)c1
14,CHEMBL1081822,94.2,Cc1cc(C#N)cc(C(=O)c2c(C(C)C)c(=O)[nH]c(=O)n2Cc2cc(F)nc(F)c2)c1
15,CHEMBL1081840,99.9,CCCCn1c(C(=O)c2cc(C)cc(C#N)c2)c(C(C)C)c(=O)[nH]c1=O
16,CHEMBL1081850,99.3,CCn1c(C(=O)c2cc(C)cc(C#N)c2)c(C(C)(C)C)c(=O)[nH]c1=O
17,CHEMBL1081851,98.7,CCn1c(C(F)(F)c2cc(C)cc(C#N)c2)c(C(C)C)c(=O)[nH]c1=O
18,CHEMBL1081903,45.0,COc1ccc(C#N)cc1Oc1ncnc(N2CCC(Oc3ncc(F)c(N)n3)CC2)c1F
19,CHEMBL1081995,87.7,Cc1cc(C#N)cc(C(=O)c2c(C(C)C)c(=O)[nH]c(=O)n2Cc2ccnc(F)c2)c1
20,CHEMBL1083192,51.0,CS(=O)(=O)N1CCN(Cc2cc3nc(-c4cnc(N)nc4)nc(N4CCOCC4)c3s2)CC1
21,CHEMBL1083993,96.0,CCCCc1oc2ccccc2c1C(=O)c1cc(I)c(OCCN(CC)CC)c(I)c1.Cl
22,CHEMBL1088752,94.9,Cc1c(F)cc(C(=O)NC2CC2)cc1-c1ccc(C(=O)NCC(C)(C)C)cn1
23,CHEMBL109,10.0,CCCC(CCC)C(=O)O
24,CHEMBL1090103,98.7,O=C(O)c1cn(Cc2ccc(-c3ccccc3)cc2)c2ccsc2c1=O
25,CHEMBL1090104,99.3,O=C(O)c1cn(Cc2ccc(-c3ccccc3)cc2)c2sccc2c1=O
26,CHEMBL1090786,99.4,CCc1ccc(Cc2cc([C@@H]3S[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)c(OC)cc2Cl)cc1
27,CHEMBL1091236,98.8,Cc1ccn(-c2ccc(Cn3cc(C(=O)O)c(=O)c4cccnc43)cc2)n1
28,CHEMBL1091392,97.7,O=C(O)c1cn(Cc2ccc(-c3ccccc3)cc2)c2nccnc2c1=O
29,CHEMBL1091547,99.7,CC(C)c1ccc(Cc2cc([C@@H]3S[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)ccc2Cl)cc1
30,CHEMBL1091548,72.1,Cn1cc(-c2ccc(Cn3cc(C(=O)O)c(=O)c4sccc43)nc2)cn1
31,CHEMBL1091967,86.0,O=C(O)c1cn(Cc2ccc(-n3cccn3)cc2)c2ccsc2c1=O
32,CHEMBL1091968,80.1,O=C(O)c1cn(Cc2ccc(-n3ccnc3)cc2)c2ccsc2c1=O
33,CHEMBL1091978,77.0,Cc1c(CN2CCN(S(C)(=O)=O)CC2)sc2c(N3CCOCC3)nc(-c3cnc(N)nc3)nc12
34,CHEMBL1092988,87.5,Cc1ccn(-c2ccc(Cn3cc(C(=O)O)c(=O)c4ccncc43)cc2)n1
35,CHEMBL1093126,99.2,O=C(O)c1cn(Cc2ccc(-c3ccccc3)cc2)c2ncccc2c1=O
36,CHEMBL1093238,93.9,O=C(O)c1cn(Cc2ccc(-n3cccn3)cc2)c2ncccc2c1=O
37,CHEMBL1093423,96.2,CCOc1ccc(Cc2cc([C@@H]3S[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)c(OC)cc2C)cc1
38,CHEMBL1093538,76.7,Cc1cn(-c2ccc(Cn3cc(C(=O)O)c(=O)c4cccnc43)cc2)cn1
39,CHEMBL1093777,98.3,CCc1ccc(Cc2cc([C@@H]3S[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)c(OC)cc2C)cc1
40,CHEMBL1093778,99.1,COc1cc(C)c(Cc2ccc(C(C)C)cc2)cc1[C@@H]1S[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O
41,CHEMBL1093895,93.4,Cn1cc(-c2ccc(Cn3cc(C(=O)O)c(=O)c4sccc43)cc2)cn1
42,CHEMBL1093896,88.3,Nc1cccc(-c2ccc(Cn3cc(C(=O)O)c(=O)c4sccc43)nc2)c1
43,CHEMBL1098726,95.0,CN1C(=O)N(c2cc(Cl)cc(Cl)c2)C(=O)[C@]12CN(c1ccc(C(=O)O)cn1)C[C@H]2c1ccc(C#N)cc1
44,CHEMBL11,87.45,CN(C)CCCN1c2ccccc2CCc2ccccc21
45,CHEMBL110424,11.0,
46,CHEMBL111522,11.0,
47,CHEMBL113,58.9,Cn1c(=O)c2c(ncn2C)n(C)c1=O
48,CHEMBL1136,50.0,CC[C@H]1OC(=O)[C@H](C)C(=O)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(OC)C[C@@H](C)C(=O)[C@H](C)[C@H]2N(CCCCn3cnc(-c4cccnc4)c3)C(=O)O[C@]12C
49,CHEMBL1163006,80.0,Cc1c[nH]c2c(N/C(N[C@H]3CCCCN(CC(=O)N4CCCC4)C3=O)=C(/C#N)C(=O)N(C)C)cccc12
50,CHEMBL1168,89.5,CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N1[C@H](C(=O)O)C[C@@H]2CCC[C@@H]21
51,CHEMBL1170455,81.0,CCCCCCCO[C@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]1O
52,CHEMBL1171278,93.0,COC(=O)c1ccc(-c2ccc(O[C@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]3O)cc2)cc1
53,CHEMBL1171678,92.0,COC(=O)c1ccc(-c2cccc(O[C@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]3O)c2)cc1
54,CHEMBL1171837,99.8,Cc1ccc(C(=O)Nc2ccc(CN3CCN(C)CC3)c(C(F)(F)F)c2)cc1C#Cc1cnc2cccnn12
55,CHEMBL1185,25.0,CN(C)CCc1c[nH]c2ccc(C[C@H]3COC(=O)N3)cc12
56,CHEMBL1191,93.5,Cc1nnc(NS(=O)(=O)c2ccc(N)cc2)s1
57,CHEMBL1194,55.0,CCCNC(C)C(=O)Nc1ccccc1C
58,CHEMBL12,94.0,CN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21
59,CHEMBL1200340,42.0,CCOC(=O)C1=C[C@@H](OC(CC)CC)[C@H](NC(C)=O)[C@@H](N)C1.O=P(O)(O)O
60,CHEMBL1200343,60.0,CC(C)(C)N.CCC[C@H](N[C@@H](C)C(=O)N1[C@H](C(=O)O)C[C@@H]2CCCC[C@@H]21)C(=O)OCC
61,CHEMBL1201335,29.0,C[N+]1(C)CCC(OC(=O)C(O)(c2ccccc2)C2CCCC2)C1
62,CHEMBL1201368,10.0,CCC[C@H](N[C@@H](C)C(=O)N1[C@H](C(=O)O)C[C@@H]2CCCC[C@@H]21)C(=O)O
63,CHEMBL1201387,79.5,C[C@H](N[C@@H](CCc1ccccc1)C(=O)O)C(=O)N1[C@H](C(=O)O)C[C@H]2CCCC[C@@H]21
64,CHEMBL1230065,81.5,CCCNC(=O)c1cn2ncnc(Nc3cc(C(=O)NC4CC4)ccc3C)c2c1C
65,CHEMBL1232769,4.0,C[C@H](CS(C)(=O)=O)Nc1ncc2cc(Oc3ccc(F)cc3F)c(=O)n(C)c2n1
66,CHEMBL1254025,71.0,CO/N=C1/C[C@@H](CO)N(C(=O)c2ccc(-c3ccccc3C)cc2)C1
67,CHEMBL1259059,83.5,CC(C)OC(=O)[C@H](C)N[P@](=O)(OC[C@H]1O[C@@H](n2ccc(=O)[nH]c2=O)[C@](C)(F)[C@@H]1O)Oc1ccccc1
68,CHEMBL126,31.0,CC(=O)NC[C@H]1CN(c2ccc(N3CCOCC3)c(F)c2)C(=O)O1
69,CHEMBL1269728,68.0,NC(=O)c1cc(-c2ccnc(N)n2)[nH]c1-c1cccs1
70,CHEMBL1269729,78.0,NC(=O)c1cc(-c2ccnc(N)n2)[nH]c1-c1ccsc1
71,CHEMBL1270230,64.0,NC(=O)c1cc(-c2ccnc(N)n2)[nH]c1-c1ccccc1
72,CHEMBL1270620,68.0,NC(=O)c1c(-c2ccccc2)[nH]c(-c2ccnc(N)n2)c1I
73,CHEMBL1270795,99.4,CSc1cn2c(-c3cn[nH]c3)cnc2c(Nc2cc(C)ns2)n1
74,CHEMBL1270924,94.0,CCn1c(-c2ccnc(N)n2)cc(C(N)=O)c1-c1ccccc1
75,CHEMBL1271333,77.0,NC(=O)c1cc(-c2ccnc(N)n2)[nH]c1-c1ccc2sccc2c1
76,CHEMBL1271334,68.0,NC(=O)c1cc(-c2nc(N)ncc2F)[nH]c1-c1ccccc1
77,CHEMBL1272,99.1,CCOc1cc(CC(=O)N[C@@H](CC(C)C)c2ccccc2N2CCCCC2)ccc1C(=O)O
78,CHEMBL1274,70.3,CC1(C)NC(=O)N(c2ccc([N+](=O)[O-])c(C(F)(F)F)c2)C1=O
79,CHEMBL1276265,99.0,O=C1c2ccc(Cl)cc2-n2c1nc1ccccc1c2=O
