,chembl_id,value,smiles
0,CHEMBL103667,45762.75,Cc1cc2occ(CN(C)CCN(C)Cc3cn(-c4cccc(C(F)(F)F)c4)c4ccccc34)c(=O)c2cc1C
1,CHEMBL108710,11000.0,CCOC(=O)CCCn1ccc2cc(OC(=O)OCC)c(OC(=O)OCC)cc2c1=O
2,CHEMBL109264,84000.0,COc1ccc(C(CC(=O)NCc2ccccc2)N2C(=O)c3ccccc3C2=O)cc1OC
3,CHEMBL109316,60000.0,COc1ccc(C(CC(=O)O)N2C(=O)c3ccccc3C2=O)cc1OC
4,CHEMBL110110,7500.0,COc1ccc(C(CCO)N2C(=O)c3ccccc3C2=O)cc1OC
5,CHEMBL110421,450.0,COC(=O)CC(c1ccc(OC)c(OC)c1)N1C(=O)c2cccc(N)c2C1=O
6,CHEMBL110949,55000.0,CCCOc1ccc(C(CC(N)=O)N2C(=O)c3ccccc3C2=O)cc1OCCC
7,CHEMBL110956,4700.0,COC(=O)CC(c1ccc(OC)c(OC)c1)N1C(=O)c2cc3ccccc3cc2C1=O
8,CHEMBL110972,150000.0,N#Cc1ccc(C(CC(N)=O)N2C(=O)c3ccccc3C2=O)cc1
9,CHEMBL111111,4200.0,COC(=O)CC(c1ccc(OC)c(OC)c1)N1C(=O)c2ccc(C(C)(C)C)cc2C1=O
10,CHEMBL111503,53000.0,CCNC(=O)CC(c1ccc(OC)c(OC)c1)N1C(=O)c2ccccc2C1=O
11,CHEMBL111544,7900.0,COC(=O)CC(c1ccc(OC)c(OC)c1)N1C(=O)c2c(Cl)ccc(Cl)c2C1=O
12,CHEMBL111560,12000.0,CNC(=O)CC(c1ccc(OC)c(OC)c1)N1C(=O)c2ccccc2C1=O
13,CHEMBL111637,120000.0,COc1cccc(C(CC(N)=O)N2C(=O)c3ccccc3C2=O)c1
14,CHEMBL111973,62000.0,COc1ccc(C(CC(N)=O)N2C(=O)c3ccccc3C2=O)cc1
15,CHEMBL113442,15000.0,COC(=O)CC(c1ccc(OC)c(OC)c1)N1C(=O)c2cccc(O)c2C1=O
16,CHEMBL114343,380.0,COC(=O)CC(c1ccc(OC)c(OC)c1)N1C(=O)c2ccc(N)cc2C1=O
17,CHEMBL124456,100000.0,CNC(=O)CCCn1ccc2cc(OC)c(OC)cc2c1=O
18,CHEMBL124743,25000.0,CCOC(=O)CCCn1cnc2ccccc2c1=O
19,CHEMBL124975,1000.0,CCOC(=O)CCCn1cc(Br)c2cc(O)c(O)cc2c1=O
20,CHEMBL125522,25000.0,CCOC(=O)CCCOc1nc(Nc2ccc(Br)cc2)nc2cc(OC)c(OC)cc12
21,CHEMBL125632,20000.0,CCOC(=O)CCCn1cc(F)c2cc(OC)c(OC)cc2c1=O
22,CHEMBL125674,51000.0,CCOC(=O)CCCn1cc(Br)c2cc(OC)c(OC)cc2c1=O
23,CHEMBL125687,100000.0,CCOC(=O)CCCn1cc(F)c2c(F)c(OC)c(OC)cc2c1=O
24,CHEMBL125787,37000.0,COc1cc2ccnc(Nc3cccc(Br)c3)c2cc1OC
25,CHEMBL126246,5000.0,CCOC(=O)CCCn1cc(C#N)c2cc(OC)c(OC)cc2c1=O
26,CHEMBL126249,48000.0,CCOC(=O)CCCn1c(Cl)nc2cc(OC)c(OC)cc2c1=O
27,CHEMBL126283,6000.0,CCOC(=O)CCCCn1cnc2cc(OC)c(OC)cc2c1=O
28,CHEMBL126353,10000.0,CCOC(=O)CCCN1CNc2ccc(N)cc2C1=O
29,CHEMBL126415,9000.0,CCOC(=O)CCCn1ccc2cc(OC(C)=O)c(OC(C)=O)cc2c1=O
30,CHEMBL126434,33000.0,COc1cc2ccnc(Nc3cccc(Cl)c3)c2cc1OC
31,CHEMBL126450,25000.0,CCOC(=O)CCCn1cnc2cccc(Cl)c2c1=O
32,CHEMBL126511,25000.0,CCOC(=O)CCCn1cnc2cc([N+](=O)[O-])ccc2c1=O
33,CHEMBL126646,25000.0,CCOC(=O)CCCn1c(Nc2ccccc2)nc2cc(OC)c(OC)cc2c1=O
34,CHEMBL126805,25000.0,CCOC(=O)CCCOc1nc(Nc2ccccc2)nc2cc(OC)c(OC)cc12
35,CHEMBL126806,25000.0,CCOC(=O)CCCOc1nc(N(C)C)nc2cc(OC)c(OC)cc12
36,CHEMBL126816,9000.0,CCOC(=O)CCCn1cnc2cc(N)ccc2c1=O
37,CHEMBL126817,4000.0,CCOC(=O)CCCn1cnc2ccc(N)cc2c1=O
38,CHEMBL126867,5000.0,CCOC(=O)CCCN1CNc2cc(N)ccc2C1=O
39,CHEMBL126912,100000.0,COc1cc2ccn(CCCC(=O)O)c(=O)c2cc1OC
40,CHEMBL126945,13000.0,CCOC(=O)CCCn1cc(CN)c2cc(OC)c(OC)cc2c1=O
41,CHEMBL127003,21000.0,CCOC(=O)CCCCn1ccc2cc(OC)c(OC)cc2c1=O
42,CHEMBL127042,3000.0,CCCn1c(=O)n(CCCC(=O)OCC)c(=O)c2nccnc21
43,CHEMBL127081,25000.0,CCOC(=O)CCCn1cnc2cc(Cl)ccc2c1=O
44,CHEMBL127144,5000.0,CCOC(=O)CCCn1ccc2ccccc2c1=O
45,CHEMBL127148,15000.0,CCOC(=O)CCCn1cnc2cc(OC)c(OC)c(N)c2c1=O
46,CHEMBL127149,11000.0,CCOC(=O)CCCn1cnc2cc(OC)c(OC)c([N+](=O)[O-])c2c1=O
47,CHEMBL127154,50000.0,CCOC(=O)CCCn1c(Nc2ccc(Br)cc2)nc2cc(OC)c(OC)cc2c1=O
48,CHEMBL127192,25000.0,CCOC(=O)CCCn1cnc2cc(F)c(F)cc2c1=O
49,CHEMBL127198,38000.0,COc1cc2ccnc(Nc3ccc(Br)cc3)c2cc1OC
50,CHEMBL127259,3000.0,CCOC(=O)CCCn1cnc2cc(OC)c(OC)cc2c1=O
